strategy,side,split,horizon,n,unique_dates,median_return,hit_rate,median_baseline,median_edge,edge_hit_rate,mean_edge
compression_break,long,test,1,14,14,-0.0018850855348271,0.14285714285714285,-0.0026370620663981863,0.0006870570309736362,0.7142857142857143,-0.002780944413450159
compression_break,long,test,3,14,14,-0.0020149844162071,0.14285714285714285,-0.0018999701188056033,0.007025193616819185,0.5,0.012249790020659398
compression_break,long,test,5,14,14,-0.00195503836815335,0.14285714285714285,-0.005023270872212491,0.004663905156252862,0.6428571428571429,0.016411148763806054
compression_break,long,test,10,14,14,-0.0025646727403499,0.0,-0.02334519343063518,0.02023806969980108,0.5714285714285714,0.049814079359406974
compression_break,long,test,20,14,14,-0.00229968832414285,0.07142857142857142,-0.03097105402721495,0.025632809532699162,0.8571428571428571,0.07191909621259511
compression_break,long,test,30,14,14,-0.0024998251224142,0.0,-0.026081023731997638,0.01843579236846427,0.7857142857142857,0.07776835616331391
compression_break,long,train,1,2,2,0.0030233996224656003,0.5,0.02340849903410136,-0.020385099411635764,0.0,-0.020385099411635764
compression_break,long,train,3,2,2,0.023466788238252552,0.5,0.05144928328936782,-0.027982495051115268,0.0,-0.027982495051115268
compression_break,long,train,5,2,2,0.013829212150129399,0.5,-0.00800838780789856,0.021837599958027955,0.5,0.021837599958027955
compression_break,long,train,10,2,2,0.053867162814266,0.5,0.01933198508760417,0.034535177726661835,0.5,0.034535177726661835
compression_break,long,train,20,2,2,0.0259734246738485,0.5,0.05816603430128395,-0.03219260962743545,0.5,-0.03219260962743545
compression_break,long,train,30,2,2,0.02217835826018625,0.5,0.221944778327151,-0.19976642006696477,0.5,-0.19976642006696477
compression_break,short,test,1,9,9,-0.0018999399639784,0.0,0.006047380796622039,-0.00794735378933004,0.3333333333333333,-0.009644001679067715
compression_break,short,test,3,9,9,-0.0020800216058336,0.0,0.006719269756393644,-0.008719269756393644,0.4444444444444444,-0.006852603263807766
compression_break,short,test,5,9,9,-0.0032039731112671,0.0,-0.001899949970981472,-0.0023878329463995753,0.3333333333333333,-0.013569120477690644
compression_break,short,test,10,9,9,-0.0022600702189592,0.1111111111111111,0.01670717526845278,-0.019396443142689117,0.3333333333333333,-0.05605770542087537
compression_break,short,test,20,9,9,-0.0024601242335429,0.2222222222222222,0.07940454098623095,-0.07047557923759726,0.1111111111111111,-0.14737451353430706
compression_break,short,test,30,9,9,-0.0029005403241946,0.1111111111111111,0.04183363873762408,-0.03945761357351862,0.2222222222222222,-0.10870987822158748
compression_break,short,train,1,21,19,-0.002,0.23809523809523808,-0.001794069192751378,-5.469746809522126e-06,0.47619047619047616,-0.007524854682319932
compression_break,short,train,3,21,19,-0.0022005012531327,0.19047619047619047,0.028407062285434104,-0.028018666644691007,0.3333333333333333,-0.021806350246360694
compression_break,short,train,5,21,19,-0.0023007518796991,0.14285714285714285,0.03768770331815219,-0.041301984962820386,0.3333333333333333,-0.036233266449986146
compression_break,short,train,10,21,19,-0.0022004208838559,0.23809523809523808,0.07079433003188074,-0.03721835751865575,0.3333333333333333,-0.046433468335707134
compression_break,short,train,20,21,19,-0.0022001000500249,0.23809523809523808,0.056491986426242036,-0.052135632304802317,0.23809523809523808,-0.06416668736062493
compression_break,short,train,30,21,19,-0.0021000400160064,0.23809523809523808,0.17669114126097374,-0.051695692025664486,0.23809523809523808,-0.10235951587810721
cross_7_30_regime,long,test,1,66,50,-0.0021000900820756,0.30303030303030304,-0.010603633530091415,0.007986590936625522,0.6666666666666666,0.01594699081486353
cross_7_30_regime,long,test,3,66,50,-0.0021998792572747,0.36363636363636365,-0.022654117066871732,0.012761003134710583,0.6515151515151515,0.025454573592614663
cross_7_30_regime,long,test,5,66,50,-0.00495498520523825,0.24242424242424243,-0.03519679504935738,0.019724449669340463,0.7575757575757576,0.04824455021247626
cross_7_30_regime,long,test,10,66,50,-0.012593671490168299,0.24242424242424243,-0.10896265159902496,0.050562874086442895,0.7272727272727273,0.05559131487079699
cross_7_30_regime,long,test,20,66,50,-0.011529399954109749,0.2727272727272727,-0.10066752945159807,0.06558126077940328,0.7575757575757576,0.07438050161782643
cross_7_30_regime,long,test,30,66,50,-0.02528345630866605,0.16666666666666666,-0.24933355520689715,0.08557175404117762,0.696969696969697,0.09250158836674048
cross_7_30_regime,long,train,1,99,61,-0.010730964467005,0.37373737373737376,-0.015816925734024156,-0.0008570949697999696,0.48484848484848486,0.0053663585254338595
cross_7_30_regime,long,train,3,99,61,-0.0210985485103131,0.30303030303030304,-0.04232771312430145,0.012836862774111755,0.6060606060606061,0.019263036519021177
cross_7_30_regime,long,train,5,99,61,-0.0338739054290718,0.2828282828282828,-0.07632974092291128,0.02236108362431949,0.6363636363636364,0.030960011535622167
cross_7_30_regime,long,train,10,99,61,-0.0235886618325641,0.36363636363636365,-0.09639318665720364,0.02385628436819786,0.6565656565656566,0.05327224189212605
cross_7_30_regime,long,train,20,99,61,-0.0996058931860035,0.2727272727272727,-0.18214323150375122,0.06139319481330341,0.6868686868686869,0.06928250967121194
cross_7_30_regime,long,train,30,99,61,-0.079206435122538,0.2828282828282828,-0.214364154641012,0.07454454265220752,0.6464646464646465,0.07851663924577304
cross_7_30_regime,short,test,1,259,121,0.0013594624860022,0.5173745173745173,-0.0015690693835116436,4.345232223293156e-05,0.5096525096525096,0.001696467897713935
