strategy,side,train_n,test_n,train_median_return,test_median_return,train_median_edge,test_median_edge,test_hit_rate,test_edge_hit_rate,passes_initial_gate
fresh_stack,long,176,59,-0.07620052903639075,-0.0055747723210486,0.05186094281678272,0.0729018969398505,0.2542372881355932,0.7457627118644068,False
cross_7_30_regime,long,99,66,-0.0996058931860035,-0.011529399954109749,0.06139319481330341,0.06558126077940328,0.2727272727272727,0.7575757575757576,False
pullback_recapture,long,294,98,-0.0762921731171914,-0.0205159375350318,0.027207540116255657,0.06090580637828763,0.22448979591836735,0.7448979591836735,False
compression_break,long,2,14,0.0259734246738485,-0.00229968832414285,-0.03219260962743545,0.025632809532699162,0.07142857142857142,0.8571428571428571,False
cross_7_30_regime,short,348,259,0.048393832746773904,0.1344899410914749,-0.004413202672103052,0.013879561310391246,0.7258687258687259,0.5752895752895753,False
fresh_stack,short,518,612,0.06536156054202046,0.07610679407926266,-0.00535660798964762,-0.00040964662796503376,0.6437908496732027,0.48856209150326796,False
pullback_recapture,short,568,668,0.05568926490571645,0.0647927945636302,-0.005162265661022243,-0.0008748313113747103,0.6497005988023952,0.49101796407185627,False
compression_break,short,21,9,-0.0022001000500249,-0.0024601242335429,-0.052135632304802317,-0.07047557923759726,0.2222222222222222,0.1111111111111111,False
