strategy,side,split,cost_bps,horizon,n,median_return,mean_return,hit_rate
compression_break,short,train,60,10,21,-0.006100020004000889,0.002677030347876976,0.14285714285714285
compression_break,short,train,60,20,21,-0.006,0.02219893083194065,0.23809523809523808
compression_break,short,train,60,30,21,-0.00610024057738578,0.022816302676463104,0.19047619047619047
cross_7_30_regime,long,test,20,1,65,-0.0023003303633997146,-0.014165059448376045,0.26153846153846155
cross_7_30_regime,long,test,20,3,65,-0.002119984402027651,-0.023192409159932127,0.36923076923076925
cross_7_30_regime,long,test,20,5,65,-0.0032007204322593834,-0.026627517556618845,0.23076923076923078
cross_7_30_regime,long,test,20,10,65,-0.011803085840934367,-0.055643576550618405,0.2
cross_7_30_regime,long,test,20,20,65,-0.011224618339792046,-0.05874291576996587,0.2153846153846154
cross_7_30_regime,long,test,20,30,65,-0.03840059127864015,-0.11094597759400002,0.16923076923076924
cross_7_30_regime,long,test,30,1,65,-0.0033003303633997146,-0.015165059448376044,0.23076923076923078
cross_7_30_regime,long,test,30,3,65,-0.003119984402027651,-0.02419240915993212,0.36923076923076925
cross_7_30_regime,long,test,30,5,65,-0.0042007204322593835,-0.027627517556618846,0.23076923076923078
cross_7_30_regime,long,test,30,10,65,-0.012803085840934366,-0.0566435765506184,0.2
cross_7_30_regime,long,test,30,20,65,-0.012224618339792045,-0.05974291576996586,0.2153846153846154
cross_7_30_regime,long,test,30,30,65,-0.03940059127864015,-0.11194597759400002,0.16923076923076924
cross_7_30_regime,long,test,60,1,65,-0.006300330363399715,-0.018165059448376045,0.16923076923076924
cross_7_30_regime,long,test,60,3,65,-0.006119984402027651,-0.027192409159932127,0.3076923076923077
cross_7_30_regime,long,test,60,5,65,-0.0072007204322593835,-0.030627517556618848,0.2
cross_7_30_regime,long,test,60,10,65,-0.015803085840934365,-0.0596435765506184,0.15384615384615385
cross_7_30_regime,long,test,60,20,65,-0.015224618339792046,-0.06274291576996587,0.2153846153846154
cross_7_30_regime,long,test,60,30,65,-0.04240059127864015,-0.114945977594,0.15384615384615385
cross_7_30_regime,long,train,20,1,99,-0.015863642939882294,-0.018212175157664576,0.31313131313131315
cross_7_30_regime,long,train,20,3,99,-0.013826035590341899,-0.019432927492734068,0.3939393939393939
cross_7_30_regime,long,train,20,5,99,-0.02516638392426984,-0.02566565448454391,0.25252525252525254
cross_7_30_regime,long,train,20,10,99,-0.027604260548955373,-0.013807828531113793,0.3838383838383838
cross_7_30_regime,long,train,20,20,99,-0.07696320090006215,-0.0760680454401754,0.3333333333333333
cross_7_30_regime,long,train,20,30,99,-0.06941853247616936,-0.10516282235946266,0.32323232323232326
cross_7_30_regime,long,train,30,1,99,-0.01686364293988229,-0.019212175157664574,0.30303030303030304
cross_7_30_regime,long,train,30,3,99,-0.014826035590341898,-0.02043292749273407,0.37373737373737376
cross_7_30_regime,long,train,30,5,99,-0.02616638392426984,-0.02666565448454392,0.25252525252525254
cross_7_30_regime,long,train,30,10,99,-0.02860426054895537,-0.01480782853111379,0.3838383838383838
cross_7_30_regime,long,train,30,20,99,-0.07796320090006215,-0.07706804544017538,0.3333333333333333
cross_7_30_regime,long,train,30,30,99,-0.07041853247616936,-0.10616282235946266,0.32323232323232326
cross_7_30_regime,long,train,60,1,99,-0.01986364293988229,-0.022212175157664573,0.26262626262626265
cross_7_30_regime,long,train,60,3,99,-0.017826035590341897,-0.02343292749273407,0.35353535353535354
cross_7_30_regime,long,train,60,5,99,-0.02916638392426984,-0.02966565448454391,0.24242424242424243
cross_7_30_regime,long,train,60,10,99,-0.03160426054895537,-0.017807828531113797,0.35353535353535354
cross_7_30_regime,long,train,60,20,99,-0.08096320090006215,-0.0800680454401754,0.32323232323232326
cross_7_30_regime,long,train,60,30,99,-0.07341853247616936,-0.10916282235946266,0.29292929292929293
cross_7_30_regime,short,test,20,1,258,0.0031285034906833892,0.0022199724467870385,0.5697674418604651
cross_7_30_regime,short,test,20,3,258,0.011162951890119234,0.0168853788704444,0.5968992248062015
cross_7_30_regime,short,test,20,5,258,0.01785863225423473,0.023886268163326476,0.6356589147286822
cross_7_30_regime,short,test,20,10,258,0.038442897278271715,0.04569197872331303,0.6356589147286822
cross_7_30_regime,short,test,20,20,258,0.14032605327553965,0.10222957627984916,0.686046511627907
cross_7_30_regime,short,test,20,30,258,0.1395402031718665,0.09867938461476342,0.6744186046511628
cross_7_30_regime,short,test,30,1,258,0.0021285034906833892,0.0012199724467870383,0.5426356589147286
cross_7_30_regime,short,test,30,3,258,0.010162951890119235,0.015885378870444403,0.5930232558139535
cross_7_30_regime,short,test,30,5,258,0.016858632254234732,0.022886268163326475,0.6317829457364341
cross_7_30_regime,short,test,30,10,258,0.037442897278271714,0.04469197872331302,0.6356589147286822
cross_7_30_regime,short,test,30,20,258,0.13932605327553965,0.10122957627984917,0.6821705426356589
cross_7_30_regime,short,test,30,30,258,0.1385402031718665,0.09767938461476341,0.6744186046511628
cross_7_30_regime,short,test,60,1,258,-0.0008714965093166108,-0.0017800275532129605,0.47674418604651164
cross_7_30_regime,short,test,60,3,258,0.007162951890119234,0.0128853788704444,0.5658914728682171
cross_7_30_regime,short,test,60,5,258,0.013858632254234731,0.019886268163326472,0.6046511627906976
cross_7_30_regime,short,test,60,10,258,0.03444289727827172,0.04169197872331302,0.6162790697674418
cross_7_30_regime,short,test,60,20,258,0.13632605327553965,0.09822957627984917,0.6821705426356589
cross_7_30_regime,short,test,60,30,258,0.1355402031718665,0.09467938461476338,0.6705426356589147
cross_7_30_regime,short,train,20,1,348,0.003978587431675675,0.006684165139910167,0.5459770114942529
cross_7_30_regime,short,train,20,3,348,-0.0019499098377078732,0.005577443198135961,0.47701149425287354
cross_7_30_regime,short,train,20,5,348,0.009664056824032987,0.008999477002383063,0.5373563218390804
cross_7_30_regime,short,train,20,10,348,0.004489350596539212,0.007525803220042623,0.5229885057471264
cross_7_30_regime,short,train,20,20,348,0.05378533799288471,0.03431533084046522,0.617816091954023
cross_7_30_regime,short,train,20,30,348,0.06887032007312355,0.07376551240010425,0.7097701149425287
cross_7_30_regime,short,train,30,1,348,0.002978587431675675,0.0056841651399101665,0.5431034482758621
cross_7_30_regime,short,train,30,3,348,-0.0029499098377078732,0.00457744319813596,0.45977011494252873
cross_7_30_regime,short,train,30,5,348,0.008664056824032988,0.007999477002383062,0.5316091954022989
cross_7_30_regime,short,train,30,10,348,0.0034893505965392117,0.006525803220042624,0.5201149425287356
cross_7_30_regime,short,train,30,20,348,0.05278533799288471,0.03331533084046522,0.617816091954023
cross_7_30_regime,short,train,30,30,348,0.06787032007312355,0.07276551240010426,0.7040229885057471
cross_7_30_regime,short,train,60,1,348,-2.1412568324325268e-05,0.002684165139910166,0.5
cross_7_30_regime,short,train,60,3,348,-0.005949909837707873,0.0015774431981359584,0.4482758620689655
cross_7_30_regime,short,train,60,5,348,0.005664056824032987,0.0049994770023830595,0.5201149425287356
cross_7_30_regime,short,train,60,10,348,0.0004893505965392116,0.0035258032200426214,0.5028735632183908
cross_7_30_regime,short,train,60,20,348,0.04978533799288471,0.030315330840465227,0.6063218390804598
cross_7_30_regime,short,train,60,30,348,0.06487032007312354,0.06976551240010424,0.6954022988505747
fresh_stack,long,test,20,1,59,-0.002299431080946211,-0.010867222746730156,0.23728813559322035
fresh_stack,long,test,20,3,59,-0.0022497452598350103,-0.0005623728834375512,0.3389830508474576
fresh_stack,long,test,20,5,59,-0.0025003001801080487,-0.0005868692527163866,0.3559322033898305
