exit_rule,split,n,symbols,median_return,mean_return,hit_rate,median_hold,p25,p75
vwap_30_recapture_or_30d,test,280,91,0.007877882824049111,0.08661655017504577,0.5214285714285715,23.0,-0.05583935607433277,0.25380204834354203
vwap_30_recapture_or_30d,train,352,149,-0.02315076194396315,0.003281930630908268,0.4090909090909091,19.0,-0.09243912886356864,0.0790541257003117
vwap_7_recapture_or_30d,test,279,91,-0.00012274368231046488,0.02784395435597422,0.4910394265232975,6.0,-0.03120031262444245,0.06054100754750519
vwap_7_recapture_or_30d,train,353,149,-0.012040567951318469,-0.0024926760560015273,0.41076487252124644,5.0,-0.06424066390041494,0.04836539601027057
