strategy,side,split,horizon,n,mean_return,median_return,hit_rate,p25,p75,median_mfe_20d,median_mae_20d
compression_break,long,test,1,14,-0.0011581488570029607,-0.0018850855348271339,0.14285714285714285,-0.0020149844162070923,-0.0014698561153423367,0.004656899198362652,-0.0011686288285550073
compression_break,long,test,3,14,-0.0005575780527471175,-0.00201498441620712,0.14285714285714285,-0.002272540687337064,-0.0018026507590209722,0.004656899198362652,-0.0011686288285550073
compression_break,long,test,5,14,-0.0008816718217783704,-0.001955038368153415,0.14285714285714285,-0.0022974246783344903,-0.0015802678019637955,0.004656899198362652,-0.0011686288285550073
compression_break,long,test,10,14,-0.0024955771638783255,-0.0025646727403499364,0.0,-0.0027000003357316154,-0.0021848305562711372,0.004656899198362652,-0.0011686288285550073
compression_break,long,test,20,14,-0.00282955905892797,-0.0022996883241428994,0.07142857142857142,-0.0026745803357313674,-0.001950054443187797,0.004656899198362652,-0.0011686288285550073
compression_break,long,test,30,14,-0.0041996447205735555,-0.0024998251224142547,0.0,-0.0032136898201179636,-0.0019850155837928245,0.004656899198362652,-0.0011686288285550073
compression_break,long,train,1,2,0.0030233996224656185,0.0030233996224656185,0.5,0.00041175977525440173,0.005635039469676835,0.12875269145912838,-0.02945227171097714
compression_break,long,train,3,2,0.023466788238252545,0.023466788238252545,0.5,0.01058348406515869,0.0363500924113464,0.12875269145912838,-0.02945227171097714
compression_break,long,train,5,2,0.013829212150129389,0.013829212150129389,0.5,0.005614785967129473,0.022043638333129306,0.12875269145912838,-0.02945227171097714
compression_break,long,train,10,2,0.05386716281426601,0.05386716281426601,0.5,0.025633761299197783,0.08210056432933424,0.12875269145912838,-0.02945227171097714
compression_break,long,train,20,2,0.0259734246738485,0.0259734246738485,0.5,0.011686892228989028,0.04025995711870797,0.12875269145912838,-0.02945227171097714
compression_break,long,train,30,2,0.02217835826018627,0.02217835826018627,0.5,0.009789359022157914,0.03456735749821463,0.12875269145912838,-0.02945227171097714
compression_break,short,test,1,9,-0.0026584332735417834,-0.0018999399639784125,0.0,-0.0028673779165582208,-0.0018242221831604715,0.004621722093841041,-0.003416055460665257
compression_break,short,test,3,9,-0.003262549736532775,-0.0020800216058336467,0.0,-0.004109916608057816,-0.002,0.004621722093841041,-0.003416055460665257
compression_break,short,test,5,9,-0.004197013199472026,-0.003203973111267187,0.0,-0.004949084916298084,-0.002030008102187562,0.004621722093841041,-0.003416055460665257
compression_break,short,test,10,9,-0.0034466955151954463,-0.002260070218959241,0.1111111111111111,-0.004310861046920687,-0.0018999399639784125,0.004621722093841041,-0.003416055460665257
compression_break,short,test,20,9,-0.002868199340083827,-0.0024601242335429135,0.2222222222222222,-0.004210388827489362,-0.0014996998198919514,0.004621722093841041,-0.003416055460665257
compression_break,short,test,30,9,-0.006155043136256982,-0.002900540324194621,0.1111111111111111,-0.0044113332663520115,-0.0021002506265663783,0.004621722093841041,-0.003416055460665257
